Namespace(active_connection=10, alpha=0.75, batch_size=16, block_size=3, clique_size=0, density_path='/workspace/data/20200811_clean/random_celeb/LEAP_random_celeb_200_3/train_density.npy', density_th=0.6, drop_prob=0.7, epochs=1, feat_path='/workspace/data/20200811_clean/random_celeb/LEAP_random_celeb_200_3/train_feat_celeb_random.lmdb', features=256, fp16=False, gamma=2, is_density=0, k_at_hop=[80, 10], knn_graph_path='/workspace/data/20200811_clean/random_celeb/LEAP_random_celeb_200_3/train_feat_celeb_random/knn_index_200.npy', label_path='/workspace/data/20200811_clean/random_celeb/LEAP_random_celeb_200_3/train_label_celeb_random.npy', lambda_u=10, local_label_path='/workspace/data/hgy_17w/pseudo_hgyAv2_0.20.npy', local_rank=0, logs_dir='params/ex1_baseline_sup_random_celeb/baseline_sup_random_celeb/LEAP_random_celeb_200_3', loss='normal', lr=0.01, lr_adjust_list=[1, 2, 3, 4], mode='sup', model_drop='gcn', momentum=0.9, print_freq=20, rand_twice=0, rand_val=0.0, ratio=0.5, resample=0.0, seed=1, weight_decay=0.0001, workers=0)
log dir:   params/ex1_baseline_sup_random_celeb/baseline_sup_random_celeb/LEAP_random_celeb_200_3
Current lr 0.01
Epoch:[0][1280/3880]	Time 0.456 (0.590)	Data 0.411 (0.497)	Loss 0.139 (0.322)	Accuracy 0.955 (0.862)	Precison 1.000 (0.879)	Recall 0.940 (0.918)
Epoch:[0][1300/3880]	Time 0.598 (0.590)	Data 0.496 (0.496)	Loss 0.103 (0.320)	Accuracy 0.951 (0.863)	Precison 0.942 (0.879)	Recall 0.990 (0.919)
Epoch:[0][1320/3880]	Time 0.558 (0.589)	Data 0.508 (0.496)	Loss 0.498 (0.320)	Accuracy 0.773 (0.863)	Precison 0.719 (0.880)	Recall 0.990 (0.919)
Epoch:[0][1340/3880]	Time 0.642 (0.589)	Data 0.586 (0.496)	Loss 0.247 (0.318)	Accuracy 0.890 (0.864)	Precison 0.828 (0.880)	Recall 0.989 (0.919)
Epoch:[0][1360/3880]	Time 0.822 (0.590)	Data 0.614 (0.496)	Loss 0.125 (0.317)	Accuracy 0.969 (0.865)	Precison 0.958 (0.881)	Recall 0.962 (0.920)
Epoch:[0][1380/3880]	Time 0.743 (0.589)	Data 0.700 (0.496)	Loss 0.169 (0.315)	Accuracy 0.933 (0.866)	Precison 0.849 (0.881)	Recall 0.969 (0.920)
Epoch:[0][1400/3880]	Time 0.688 (0.589)	Data 0.505 (0.495)	Loss 0.102 (0.313)	Accuracy 0.966 (0.867)	Precison 0.991 (0.882)	Recall 0.948 (0.921)
Epoch:[0][1420/3880]	Time 0.551 (0.589)	Data 0.499 (0.495)	Loss 0.131 (0.313)	Accuracy 0.959 (0.867)	Precison 0.985 (0.882)	Recall 0.932 (0.921)
Epoch:[0][1440/3880]	Time 0.698 (0.588)	Data 0.608 (0.495)	Loss 0.091 (0.311)	Accuracy 0.971 (0.868)	Precison 0.967 (0.883)	Recall 0.977 (0.922)
Epoch:[0][1460/3880]	Time 0.554 (0.587)	Data 0.463 (0.494)	Loss 0.233 (0.309)	Accuracy 0.904 (0.869)	Precison 0.876 (0.884)	Recall 0.988 (0.922)
