Namespace(active_connection=5, alpha=0.75, batch_size=16, block_size=3, clique_size=0, density_path='/workspace/data/20200811_clean/random_deepfashion/LEAP_random_deepfashion_200_3/train_density.npy', density_th=0.6, drop_prob=0.7, epochs=10, feat_path='/workspace/data/20200811_clean/random_deepfashion/LEAP_random_deepfashion_200_3/train_feat_deepfashion_random.lmdb', features=256, fp16=False, gamma=2, is_density=0, k_at_hop=[5, 5], knn_graph_path='/workspace/data/20200811_clean/random_deepfashion/LEAP_random_deepfashion_200_3/train_feat_deepfashion_random/knn_index_20.npy', label_path='/workspace/data/20200811_clean/random_deepfashion/LEAP_random_deepfashion_200_3/train_label_deepfashion_random.npy', lambda_u=10, local_label_path='/workspace/data/hgy_17w/pseudo_hgyAv2_0.20.npy', local_rank=0, logs_dir='params/ex1_baseline_sup_random_deepfashion/baseline_sup_random_deepfashion/LEAP_random_deepfashion_200_3', loss='FL1', lr=0.01, lr_adjust_list=[1, 2, 3, 4], mode='sup', model_drop='gcn', momentum=0.9, print_freq=20, rand_twice=0, rand_val=0.0, ratio=0.5, resample=0, seed=1, weight_decay=0.0001, workers=1)
log dir:   params/ex1_baseline_sup_random_deepfashion/baseline_sup_random_deepfashion/LEAP_random_deepfashion_200_3
Current lr 0.01
Epoch:[1][400/1012]	Time 0.015 (0.018)	Data 0.006 (0.008)	Loss 0.108 (0.120)	Accuracy 0.637 (0.620)	Precison 0.500 (0.513)	Recall 0.931 (0.898)
Epoch:[1][420/1012]	Time 0.014 (0.018)	Data 0.000 (0.008)	Loss 0.119 (0.120)	Accuracy 0.575 (0.621)	Precison 0.400 (0.514)	Recall 0.957 (0.899)
Epoch:[1][440/1012]	Time 0.020 (0.018)	Data 0.006 (0.008)	Loss 0.115 (0.120)	Accuracy 0.525 (0.620)	Precison 0.429 (0.514)	Recall 0.931 (0.899)
Epoch:[1][460/1012]	Time 0.014 (0.018)	Data 0.006 (0.008)	Loss 0.114 (0.120)	Accuracy 0.613 (0.620)	Precison 0.491 (0.514)	Recall 0.900 (0.900)
Epoch:[1][480/1012]	Time 0.009 (0.018)	Data 0.000 (0.008)	Loss 0.109 (0.120)	Accuracy 0.600 (0.620)	Precison 0.439 (0.515)	Recall 1.000 (0.899)
Epoch:[1][500/1012]	Time 0.019 (0.018)	Data 0.009 (0.007)	Loss 0.127 (0.120)	Accuracy 0.450 (0.620)	Precison 0.369 (0.515)	Recall 0.889 (0.900)
Epoch:[1][520/1012]	Time 0.020 (0.018)	Data 0.010 (0.007)	Loss 0.132 (0.120)	Accuracy 0.713 (0.621)	Precison 0.620 (0.516)	Recall 0.886 (0.900)
Epoch:[1][540/1012]	Time 0.019 (0.018)	Data 0.008 (0.007)	Loss 0.125 (0.120)	Accuracy 0.500 (0.622)	Precison 0.431 (0.517)	Recall 0.903 (0.900)
Epoch:[1][560/1012]	Time 0.016 (0.018)	Data 0.005 (0.007)	Loss 0.120 (0.120)	Accuracy 0.562 (0.622)	Precison 0.426 (0.516)	Recall 1.000 (0.901)
Epoch:[1][580/1012]	Time 0.017 (0.018)	Data 0.007 (0.007)	Loss 0.142 (0.120)	Accuracy 0.562 (0.622)	Precison 0.511 (0.517)	Recall 0.639 (0.900)
